epoch,accuracy,loss,lr,precision,recall,top_3_accuracy,val_accuracy,val_loss,val_precision,val_recall,val_top_3_accuracy
0,0.04909560829401016,14.01711368560791,0.0009987366,0.07692307978868484,0.002583979396149516,0.11369509249925613,0.02976190485060215,12.84648609161377,0.0,0.0,0.125
1,0.04909560829401016,12.715171813964844,0.0009973695,0.1666666716337204,0.005167958792299032,0.10594315081834793,0.0595238097012043,11.661900520324707,0.0,0.0,0.1785714328289032
2,0.06201550364494324,11.565391540527344,0.0009960043,0.0,0.0,0.1472868174314499,0.0595238097012043,10.619906425476074,0.0,0.0,0.1488095223903656
3,0.06459948420524597,10.454964637756348,0.0009946411,0.125,0.002583979396149516,0.1860465109348297,0.0714285746216774,9.759821891784668,0.0,0.0,0.1666666716337204
4,0.04909560829401016,9.747078895568848,0.0009932797,0.0,0.0,0.15762273967266083,0.0535714291036129,9.109129905700684,0.0,0.0,0.1726190447807312
5,0.06459948420524597,9.108268737792969,0.0009919201,0.25,0.005167958792299032,0.19379845261573792,0.0714285746216774,8.562885284423828,0.0,0.0,0.1785714328289032
6,0.04909560829401016,8.669600486755371,0.0009905624,0.0,0.0,0.14470283687114716,0.065476194024086,8.122092247009277,0.0,0.0,0.2142857164144516
7,0.0671834647655487,8.200732231140137,0.0009892066,0.0,0.0,0.1860465109348297,0.0416666679084301,7.7351765632629395,0.0,0.0,0.1726190447807312
8,0.06976744532585144,7.755812168121338,0.0009878526,0.0,0.0,0.19121447205543518,0.065476194024086,7.388655662536621,0.0,0.0,0.184523805975914
9,0.0516795851290226,7.544745922088623,0.0009865005,0.0,0.0,0.15245477855205536,0.0416666679084301,7.089465141296387,0.0,0.0,0.184523805975914
10,0.0594315230846405,7.099502086639404,0.0009851502,0.0,0.0,0.19121447205543518,0.0595238097012043,6.810825824737549,0.0,0.0,0.1785714328289032
11,0.0516795851290226,6.944930076599121,0.0009838018,0.0,0.0,0.1860465109348297,0.0595238097012043,6.573536396026611,0.0,0.0,0.1428571492433548
12,0.03875968977808952,6.640383243560791,0.0009824552,0.0,0.0,0.15245477855205536,0.0416666679084301,6.367661952972412,0.0,0.0,0.1369047611951828
13,0.04651162773370743,6.427243709564209,0.0009811105,0.0,0.0,0.1627907007932663,0.0416666679084301,6.174422264099121,0.0,0.0,0.1130952388048172
14,0.05426356568932533,6.277573585510254,0.0009797676,0.0,0.0,0.18087854981422424,0.0416666679084301,5.995872974395752,0.0,0.0,0.130952388048172
15,0.05426356568932533,6.09699821472168,0.0009784265,0.0,0.0,0.19121447205543518,0.0416666679084301,5.8273162841796875,0.0,0.0,0.130952388048172
16,0.07235141843557358,5.877326488494873,0.0009770873,0.0,0.0,0.18863049149513245,0.0416666679084301,5.66991662979126,0.0,0.0,0.1428571492433548
17,0.06459948420524597,5.827695369720459,0.0009757499,0.0,0.0,0.1705426424741745,0.0416666679084301,5.556313514709473,0.0,0.0,0.1428571492433548
18,0.05426356568932533,5.656414031982422,0.00097441435,0.0,0.0,0.1705426424741745,0.0416666679084301,5.437294960021973,0.0,0.0,0.1130952388048172
19,0.0671834647655487,5.542943477630615,0.00097308063,0.0,0.0,0.2067183405160904,0.0416666679084301,5.318276405334473,0.0,0.0,0.1369047611951828
20,0.0671834647655487,5.420469284057617,0.00097174867,0.0,0.0,0.1782945692539215,0.02976190485060215,5.240894317626953,0.0,0.0,0.1428571492433548
21,0.06976744532585144,5.302646636962891,0.0009704186,0.0,0.0,0.17312660813331604,0.0773809552192688,5.141910552978516,0.0,0.0,0.1607142835855484
22,0.0671834647655487,5.197107315063477,0.0009690904,0.0,0.0,0.19121447205543518,0.0476190485060215,5.052969932556152,0.0,0.0,0.1964285671710968
23,0.08010336011648178,5.053937911987305,0.00096776395,0.0,0.0,0.2067183405160904,0.0476190485060215,4.987871170043945,0.0,0.0,0.1964285671710968
24,0.08010336011648178,5.016173362731934,0.0009664393,0.0,0.0,0.19379845261573792,0.0416666679084301,4.986167907714844,0.0,0.0,0.1547619104385376
25,0.03875968977808952,5.056415557861328,0.0009651165,0.0,0.0,0.1860465109348297,0.0416666679084301,4.954561233520508,0.0,0.0,0.1488095223903656
26,0.06201550364494324,4.9962663650512695,0.00096379546,0.0,0.0,0.15762273967266083,0.0416666679084301,4.854150295257568,0.0,0.0,0.125
27,0.05684754624962807,4.876932144165039,0.0009624763,0.25,0.002583979396149516,0.2067183405160904,0.0773809552192688,4.788036346435547,0.0,0.0,0.1666666716337204
28,0.0516795851290226,4.946465969085693,0.0009611589,0.0,0.0,0.16020672023296356,0.0416666679084301,4.725608825683594,0.0,0.0,0.1607142835855484
29,0.06459948420524597,4.805084705352783,0.00095984334,0.0,0.0,0.18087854981422424,0.0416666679084301,4.696528434753418,0.0,0.0,0.1607142835855484
30,0.05426356568932533,4.7791547775268555,0.00095852953,0.0,0.0,0.1705426424741745,0.0773809552192688,4.6687541007995605,0.0,0.0,0.1607142835855484
31,0.0516795851290226,4.729898929595947,0.00095721753,0.0,0.0,0.16795866191387177,0.0773809552192688,4.609633922576904,0.0,0.0,0.1488095223903656
32,0.07751937955617905,4.684077739715576,0.0009559074,0.0,0.0,0.16795866191387177,0.02976190485060215,4.574321746826172,0.0,0.0,0.1785714328289032
